Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,No High School Diploma,1%,-18%,-17%,-18%,-20%
Southwest,,47%,57%,68%,55%,61%
Southern Plains,,38%,36%,38%,26%,34%
Northern Plains,,-16%,-14%,-16%,-16%,-15%
Midwest,,1%,-1%,2%,1%,4%
Southeast,,10%,7%,6%,6%,13%
Northeast,,53%,47%,53%,54%,48%
NATIONAL,,23%,26%,25%,24%,30%
Northwest,Minority,26%,28%,36%,31%,38%
Southwest,,82%,87%,112%,83%,89%
Southern Plains,,86%,80%,72%,41%,66%
Northern Plains,,-23%,-24%,-26%,-27%,-20%
Midwest,,-33%,-35%,-35%,-41%,-21%
Southeast,,55%,61%,63%,64%,68%
Northeast,,162%,159%,171%,179%,129%
NATIONAL,,57%,58%,59%,53%,55%
Northwest,Low Income,-5%,-22%,-23%,-23%,-25%
Southwest,,31%,47%,53%,47%,48%
Southern Plains,,24%,20%,24%,21%,25%
Northern Plains,,6%,7%,5%,5%,8%
Midwest,,8%,4%,7%,4%,10%
Southeast,,27%,17%,17%,19%,26%
Northeast,,54%,49%,58%,57%,45%
NATIONAL,,22%,22%,19%,21%,25%
