Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,No High School Diploma,-8%,-26%,-27%,-27%,-27%
Southwest,,-14%,-13%,-6%,-17%,-13%
Southern Plains,,-32%,-36%,-33%,-36%,-35%
Northern Plains,,18%,20%,18%,7%,8%
Midwest,,13%,13%,20%,16%,13%
Southeast,,1%,-5%,-6%,-5%,-6%
Northeast,,-9%,-11%,-10%,-11%,-13%
NATIONAL,,-21%,-18%,-17%,-18%,-17%
Northwest,Minority,41%,43%,43%,43%,43%
Southwest,,-24%,-24%,-13%,-28%,-23%
Southern Plains,,-56%,-61%,-55%,-63%,-62%
Northern Plains,,15%,18%,15%,14%,14%
Midwest,,67%,47%,73%,61%,57%
Southeast,,-38%,-27%,-27%,-28%,-29%
Northeast,,-7%,-16%,-14%,-14%,-11%
NATIONAL,,-45%,-33%,-27%,-30%,-29%
Northwest,Low Income,-22%,-35%,-35%,-35%,-35%
Southwest,,-7%,-7%,-4%,-9%,-6%
Southern Plains,,-9%,-5%,-10%,-6%,-6%
Northern Plains,,-2%,-2%,-3%,-4%,-5%
Midwest,,12%,9%,18%,11%,6%
Southeast,,0%,-12%,-13%,-12%,-13%
Northeast,,6%,3%,4%,5%,2%
NATIONAL,,-6%,-11%,-12%,-11%,-11%
