Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,No High School Diploma,-14%,-24%,-24%,-25%,-25%
Southwest,,-14%,-6%,-3%,-7%,-5%
Southern Plains,,14%,15%,7%,1%,5%
Northern Plains,,-17%,-16%,-17%,-16%,-17%
Midwest,,-5%,-4%,-5%,-7%,-4%
Southeast,,17%,11%,11%,14%,19%
Northeast,,23%,1%,14%,18%,12%
NATIONAL,,6%,6%,9%,8%,10%
Northwest,Minority,-8%,5%,13%,7%,14%
Southwest,,-16%,-12%,-8%,-15%,-15%
Southern Plains,,24%,26%,6%,-6%,-3%
Northern Plains,,-37%,-35%,-36%,-37%,-36%
Midwest,,-49%,-52%,-52%,-52%,-39%
Southeast,,37%,32%,36%,44%,47%
Northeast,,66%,17%,46%,55%,39%
NATIONAL,,1%,2%,9%,2%,0%
Northwest,Low Income,-7%,-23%,-27%,-25%,-27%
Southwest,,-10%,2%,3%,5%,3%
Southern Plains,,9%,7%,6%,8%,11%
Northern Plains,,3%,5%,4%,3%,4%
Midwest,,1%,1%,0%,-2%,2%
Southeast,,25%,15%,16%,20%,28%
Northeast,,29%,8%,21%,24%,18%
NATIONAL,,10%,7%,9%,10%,11%
