Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00001
,Southwest,0.00000,0.00000,0.00000,0.00001,0.00001
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00001
,Northern Plains,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001
,Midwest,-0.00001,-0.00001,-0.00002,-0.00002,-0.00002
,Southeast,0.00000,0.00001,0.00001,0.00001,0.00002
,Northeast,0.00000,0.00000,0.00000,0.00000,0.00001
,NATIONAL,0.00000,-0.00001,-0.00001,-0.00001,0.00000
Mean - Medium Tercile,Northwest,0.00000,0.00000,0.00001,0.00001,0.00001
,Southwest,0.00000,0.00001,0.00001,0.00002,0.00002
,Southern Plains,0.00000,0.00000,0.00000,0.00001,0.00002
,Northern Plains,0.00000,0.00000,0.00000,0.00000,-0.00001
,Midwest,0.00000,-0.00001,-0.00001,-0.00001,-0.00001
,Southeast,0.00001,0.00001,0.00002,0.00002,0.00004
,Northeast,0.00001,0.00001,0.00001,0.00002,0.00002
,NATIONAL,0.00000,0.00000,0.00001,0.00001,0.00002
Mean - Highest Tercile,Northwest,0.00000,0.00001,0.00001,0.00002,0.00004
,Southwest,0.00001,0.00001,0.00002,0.00002,0.00004
,Southern Plains,0.00001,0.00001,0.00001,0.00001,0.00003
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Midwest,0.00000,0.00000,0.00000,0.00000,0.00001
,Southeast,0.00002,0.00002,0.00003,0.00005,0.00007
,Northeast,0.00001,0.00001,0.00002,0.00003,0.00005
,NATIONAL,0.00001,0.00001,0.00002,0.00003,0.00005
Median - Loest Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00001
,Southwest,0.00000,0.00000,0.00000,0.00001,0.00001
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00001
,Northern Plains,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001
,Midwest,-0.00001,-0.00001,-0.00002,-0.00002,-0.00001
,Southeast,0.00001,0.00001,0.00001,0.00001,0.00002
,Northeast,0.00000,0.00000,0.00000,0.00001,0.00001
,NATIONAL,0.00000,0.00000,0.00000,0.00000,0.00000
Median - Medium Tercile,Northwest,0.00000,0.00000,0.00000,0.00001,0.00001
,Southwest,0.00000,0.00001,0.00001,0.00002,0.00002
,Southern Plains,0.00000,0.00000,0.00000,0.00001,0.00002
,Northern Plains,0.00000,0.00000,0.00000,0.00000,-0.00001
,Midwest,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001
,Southeast,0.00001,0.00001,0.00002,0.00002,0.00004
,Northeast,0.00001,0.00001,0.00001,0.00002,0.00002
,NATIONAL,0.00000,0.00000,0.00001,0.00001,0.00002
Median - Highest Tercile,Northwest,0.00000,0.00001,0.00001,0.00002,0.00004
,Southwest,0.00001,0.00001,0.00002,0.00002,0.00003
,Southern Plains,0.00001,0.00001,0.00001,0.00001,0.00003
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00001
,Midwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southeast,0.00002,0.00002,0.00003,0.00004,0.00006
,Northeast,0.00001,0.00001,0.00002,0.00003,0.00004
,NATIONAL,0.00001,0.00001,0.00002,0.00003,0.00004
