Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Northern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Midwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southeast,0.0000,0.0000,0.0000,0.0000,0.0000
,Northeast,0.0000,0.0000,0.0000,0.0000,0.0000
,NATIONAL,0.0000,0.0000,0.0000,0.0000,0.0000
max - lowest tercile; min - medium tercile,Northwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Northern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Midwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southeast,0.0000,0.0000,0.0000,0.0000,0.0000
,Northeast,0.0000,0.0000,0.0000,0.0000,0.0000
,NATIONAL,0.0000,0.0000,0.0000,0.0000,0.0000
max - medium tercile; min - highest tercile,Northwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Northern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Midwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southeast,0.0000,0.0000,0.0000,0.0000,0.0000
,Northeast,0.0000,0.0000,0.0000,0.0000,0.0000
,NATIONAL,0.0000,0.0000,0.0000,0.0000,0.0000
maximum,Northwest,0.0000,0.0000,0.0000,0.0000,0.0001
,Southwest,0.0000,0.0001,0.0001,0.0001,0.0002
,Southern Plains,0.0000,0.0000,0.0000,0.0000,0.0001
,Northern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Midwest,0.0000,0.0000,0.0000,0.0000,0.0000
,Southeast,0.0000,0.0001,0.0001,0.0001,0.0002
,Northeast,0.0000,0.0000,0.0000,0.0001,0.0001
,NATIONAL,0.0000,0.0001,0.0001,0.0001,0.0002
