Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,-3.64E-07,1.02E-05,2.60E-05,3.25E-05,8.56E-05
,Southwest,1.01E-05,2.23E-05,3.82E-05,4.95E-05,1.12E-04
,Southern Plains,-3.76E-05,-4.29E-05,-2.04E-05,1.82E-06,4.25E-05
,Northern Plains,-7.53E-05,-1.23E-04,-1.20E-04,-9.80E-05,-1.93E-04
,Midwest,-9.30E-05,-1.31E-04,-1.51E-04,-1.60E-04,-1.70E-04
,Southeast,3.48E-05,3.73E-05,4.45E-05,7.02E-05,1.14E-04
,Northeast,8.18E-06,-1.02E-05,1.52E-05,2.02E-05,6.77E-05
,NATIONAL,-3.88E-05,-6.14E-05,-6.10E-05,-5.77E-05,-3.55E-05
Mean - Medium Tercile,Northwest,7.64E-06,3.45E-05,6.33E-05,7.88E-05,1.69E-04
,Southwest,3.62E-05,7.21E-05,1.11E-04,1.33E-04,2.23E-04
,Southern Plains,-6.73E-06,-5.09E-06,1.63E-05,4.52E-05,1.28E-04
,Northern Plains,-3.45E-05,-5.97E-05,-6.35E-05,-5.14E-05,-9.69E-05
,Midwest,-5.06E-05,-7.76E-05,-8.81E-05,-8.93E-05,-5.87E-05
,Southeast,7.64E-05,9.76E-05,1.34E-04,2.06E-04,3.29E-04
,Northeast,3.93E-05,3.39E-05,7.90E-05,1.02E-04,1.56E-04
,NATIONAL,2.88E-05,3.27E-05,5.92E-05,8.15E-05,1.50E-04
Mean - Highest Tercile,Northwest,2.58E-05,1.00E-04,1.74E-04,2.25E-04,4.91E-04
,Southwest,7.36E-05,1.28E-04,1.87E-04,2.45E-04,3.87E-04
,Southern Plains,5.95E-05,4.51E-05,7.00E-05,1.17E-04,2.70E-04
,Northern Plains,1.06E-05,2.14E-06,8.64E-06,2.25E-05,6.02E-05
,Midwest,6.64E-06,-2.22E-05,-9.33E-06,1.39E-06,6.84E-05
,Southeast,1.41E-04,1.96E-04,2.68E-04,4.06E-04,6.18E-04
,Northeast,7.42E-05,7.58E-05,1.47E-04,1.90E-04,3.03E-04
,NATIONAL,8.96E-05,1.22E-04,1.80E-04,2.55E-04,4.07E-04
Median - Loest Tercile,Northwest,7.53E-07,1.37E-05,3.05E-05,3.63E-05,9.01E-05
,Southwest,1.01E-05,2.71E-05,4.36E-05,5.28E-05,1.19E-04
,Southern Plains,-3.32E-05,-3.43E-05,-9.26E-06,4.71E-06,5.82E-05
,Northern Plains,-7.07E-05,-1.16E-04,-1.14E-04,-9.20E-05,-1.83E-04
,Midwest,-8.70E-05,-1.22E-04,-1.41E-04,-1.50E-04,-1.52E-04
,Southeast,3.79E-05,3.93E-05,4.49E-05,6.89E-05,1.07E-04
,Northeast,1.38E-05,6.26E-06,3.37E-05,4.05E-05,7.98E-05
,NATIONAL,-3.29E-05,-5.54E-05,-5.44E-05,-4.69E-05,-2.31E-06
Median - Medium Tercile,Northwest,7.51E-06,3.36E-05,6.21E-05,7.67E-05,1.65E-04
,Southwest,3.60E-05,7.23E-05,1.11E-04,1.33E-04,2.23E-04
,Southern Plains,-8.06E-06,-7.28E-06,1.62E-05,4.57E-05,1.27E-04
,Northern Plains,-3.61E-05,-5.94E-05,-6.49E-05,-5.41E-05,-1.07E-04
,Midwest,-5.10E-05,-7.80E-05,-8.86E-05,-9.00E-05,-5.93E-05
,Southeast,7.56E-05,9.69E-05,1.33E-04,2.05E-04,3.29E-04
,Northeast,3.91E-05,3.38E-05,7.89E-05,1.02E-04,1.55E-04
,NATIONAL,2.98E-05,3.30E-05,6.04E-05,8.07E-05,1.48E-04
Median - Highest Tercile,Northwest,2.04E-05,9.07E-05,1.58E-04,2.06E-04,4.51E-04
,Southwest,6.71E-05,1.17E-04,1.72E-04,2.21E-04,3.51E-04
,Southern Plains,5.88E-05,3.82E-05,5.83E-05,9.26E-05,2.29E-04
,Northern Plains,1.00E-05,3.84E-06,1.03E-05,1.96E-05,5.29E-05
,Midwest,2.70E-06,-2.36E-05,-1.38E-05,-1.01E-05,3.79E-05
,Southeast,1.32E-04,1.80E-04,2.46E-04,3.73E-04,5.61E-04
,Northeast,6.51E-05,6.44E-05,1.27E-04,1.64E-04,2.57E-04
,NATIONAL,7.73E-05,1.04E-04,1.57E-04,2.18E-04,3.53E-04
