Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,0.0000,-0.0001,-0.0001,0.0000,0.0000
,Southwest,0.0000,-0.0001,-0.0001,-0.0001,0.0000
,Southern Plains,-0.0002,-0.0003,-0.0002,-0.0001,-0.0002
,Northern Plains,-0.0002,-0.0004,-0.0003,-0.0002,-0.0005
,Midwest,-0.0003,-0.0005,-0.0006,-0.0007,-0.0007
,Southeast,0.0000,0.0000,-0.0001,-0.0001,0.0000
,Northeast,-0.0001,-0.0003,-0.0003,-0.0003,-0.0004
,NATIONAL,-0.0003,-0.0005,-0.0006,-0.0007,-0.0007
max - lowest tercile; min - medium tercile,Northwest,0.0000,0.0000,0.0000,0.0001,0.0001
,Southwest,0.0000,0.0001,0.0001,0.0001,0.0002
,Southern Plains,0.0000,0.0000,0.0000,0.0000,0.0001
,Northern Plains,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002
,Midwest,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
,Southeast,0.0001,0.0001,0.0001,0.0002,0.0003
,Northeast,0.0000,0.0000,0.0001,0.0001,0.0001
,NATIONAL,0.0000,0.0000,0.0000,0.0000,0.0001
max - medium tercile; min - highest tercile,Northwest,0.0000,0.0000,0.0001,0.0001,0.0002
,Southwest,0.0001,0.0001,0.0001,0.0002,0.0003
,Southern Plains,0.0000,0.0000,0.0000,0.0001,0.0002
,Northern Plains,0.0000,0.0000,0.0000,0.0000,0.0000
,Midwest,0.0000,-0.0001,-0.0001,-0.0001,0.0000
,Southeast,0.0001,0.0002,0.0003,0.0004,0.0006
,Northeast,0.0001,0.0001,0.0001,0.0001,0.0002
,NATIONAL,0.0001,0.0001,0.0001,0.0002,0.0003
maximum,Northwest,0.0000,0.0002,0.0004,0.0005,0.0011
,Southwest,0.0002,0.0003,0.0003,0.0005,0.0008
,Southern Plains,0.0003,0.0003,0.0006,0.0011,0.0022
,Northern Plains,0.0000,0.0000,0.0001,0.0001,0.0002
,Midwest,0.0002,0.0003,0.0004,0.0005,0.0008
,Southeast,0.0006,0.0009,0.0013,0.0019,0.0039
,Northeast,0.0004,0.0005,0.0008,0.0011,0.0016
,NATIONAL,0.0006,0.0009,0.0013,0.0019,0.0039
