Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Midwest,0.00000,0.00000,0.00000,0.00001,0.00001
,Southeast,0.00000,0.00000,0.00000,0.00000,0.00000
,Northeast,0.00000,0.00000,0.00000,0.00000,0.00000
,NATIONAL,0.00000,0.00000,0.00000,0.00000,0.00000
Mean - Medium Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00001
,Midwest,0.00000,0.00000,0.00001,0.00001,0.00001
,Southeast,0.00000,0.00000,0.00000,0.00000,0.00000
,Northeast,0.00000,0.00000,0.00001,0.00001,0.00001
,NATIONAL,0.00000,0.00000,0.00000,0.00000,0.00001
Mean - Highest Tercile,Northwest,0.00000,0.00001,0.00001,0.00001,0.00002
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00001
,Southern Plains,0.00000,0.00000,0.00001,0.00001,0.00001
,Northern Plains,0.00000,0.00000,0.00001,0.00001,0.00001
,Midwest,0.00001,0.00001,0.00001,0.00002,0.00002
,Southeast,0.00000,0.00000,0.00001,0.00001,0.00001
,Northeast,0.00000,0.00001,0.00001,0.00001,0.00002
,NATIONAL,0.00000,0.00001,0.00001,0.00001,0.00001
Median - Loest Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Midwest,0.00000,0.00000,0.00000,0.00001,0.00001
,Southeast,0.00000,0.00000,0.00000,0.00000,0.00000
,Northeast,0.00000,0.00000,0.00000,0.00000,0.00000
,NATIONAL,0.00000,0.00000,0.00000,0.00000,0.00000
Median - Medium Tercile,Northwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00000
,Southern Plains,0.00000,0.00000,0.00000,0.00000,0.00000
,Northern Plains,0.00000,0.00000,0.00000,0.00000,0.00001
,Midwest,0.00000,0.00000,0.00001,0.00001,0.00001
,Southeast,0.00000,0.00000,0.00000,0.00000,0.00000
,Northeast,0.00000,0.00000,0.00001,0.00001,0.00001
,NATIONAL,0.00000,0.00000,0.00000,0.00000,0.00001
Median - Highest Tercile,Northwest,0.00000,0.00001,0.00001,0.00001,0.00002
,Southwest,0.00000,0.00000,0.00000,0.00000,0.00001
,Southern Plains,0.00000,0.00000,0.00001,0.00001,0.00001
,Northern Plains,0.00000,0.00000,0.00001,0.00001,0.00001
,Midwest,0.00001,0.00001,0.00001,0.00002,0.00002
,Southeast,0.00000,0.00000,0.00001,0.00001,0.00001
,Northeast,0.00000,0.00001,0.00001,0.00001,0.00002
,NATIONAL,0.00000,0.00000,0.00001,0.00001,0.00001
