Date,Value
189501,26.69
189502,26.6
189503,39.97
189504,52.9
189505,59.94
189506,67.8
189507,71.24
189508,71.62
189509,65.57
189510,50.85
189511,39.16
189512,31.71
189601,31.48
189602,35.04
189603,38.03
189604,52.34
189605,62.46
189606,69.89
189607,73.69
189608,72.27
189609,62.94
189610,51.91
189611,38.32
189612,35.55
189701,28.17
189702,33.39
189703,38.79
189704,51.15
189705,61.18
189706,68.11
189707,73.36
189708,71.35
189709,66.4
189710,55.11
189711,40.91
189712,30.76
189801,30.67
189802,35.37
189803,41.05
189804,50.79
189805,59.94
189806,69.31
189807,73.29
189808,72.75
189809,65.46
189810,51.49
189811,38.39
189812,28.67
189901,29.68
189902,25.5
189903,37.63
189904,50.61
189905,59.9
189906,68.65
189907,73.08
189908,71.74
189909,64.8
189910,53.98
189911,44.92
189912,31.62
190001,34.11
190002,30.76
190003,41.27
190004,51.6
190005,61.74
190006,70.3
190007,73.13
190008,72.86
190009,65.14
190010,56.35
190011,41.54
190012,34.48
190101,31.62
190102,29.86
190103,40.71
190104,49.39
190105,61.18
190106,68.43
190107,76.24
190108,73.2
190109,63.25
190110,55.45
190111,41.68
190112,31.48
190201,30.06
190202,31.46
190203,41.58
190204,50.85
190205,61.99
190206,68.04
190207,72.05
190208,71.37
190209,62.76
190210,54.43
190211,43.68
190212,30.79
190301,30.88
190302,28.42
190303,42.21
190304,50.22
190305,59.54
190306,65.89
190307,71.92
190308,70.97
190309,62.73
190310,53.94
190311,40.23
190312,30.54
190401,27.55
190402,31.59
190403,41.76
190404,49.46
190405,60.13
190406,67.26
190407,71.35
190408,70.72
190409,64.96
190410,53.92
190411,43.14
190412,32.02
190501,27.1
190502,26.94
190503,45.12
190504,50.49
190505,59.14
190506,68
190507,71.98
190508,72.37
190509,65.95
190510,51.64
190511,42.24
190512,30.99
190601,32.88
190602,33.69
190603,36.1
190604,52.72
190605,59.58
190606,67.32
190607,72.36
190608,71.85
190609,66.25
190610,52.54
190611,40.44
190612,34.97
190701,30.69
190702,35.46
190703,45.7
190704,47.53
190705,55.89
190706,65.7
190707,72.52
190708,70.79
190709,64.22
190710,53.78
190711,40.82
190712,34.7
190801,32.45
190802,33.01
190803,43.92
190804,52.75
190805,58.82
190806,66.92
190807,73.18
190808,70.68
190809,65.59
190810,51.76
190811,42.53
190812,33.31
190901,32.31
190902,35.02
190903,40.35
190904,48.96
190905,58.14
190906,68.94
190907,72.63
190908,72.93
190909,64.4
190910,52.88
190911,45.03
190912,25.61
191001,29.61
191002,29.3
191003,49.44
191004,53.62
191005,59.22
191006,68.29
191007,74.12
191008,71.11
191009,65.68
191010,55.62
191011,41.13
191012,31.93
191101,32.9
191102,33.66
191103,44.02
191104,50
191105,61.21
191106,70.75
191107,72.68
191108,70.9
191109,66.09
191110,52.66
191111,37.27
191112,32.2
191201,24.76
191202,31.08
191203,35.76
191204,50.58
191205,60.48
191206,66.7
191207,72.25
191208,70.12
191209,62.73
191210,53.17
191211,42.21
191212,32.95
191301,30.47
191302,29.5
191303,38.71
191304,51.39
191305,60.13
191306,68.22
191307,73
191308,73.36
191309,63.64
191310,51.64
191311,45.12
191312,33.33
191401,34.5
191402,29.52
191403,40.75
191404,51.04
191405,61.14
191406,69.35
191407,74.08
191408,71.69
191409,64.58
191410,55.24
191411,43.41
191412,26.78
191501,28.44
191502,35.94
191503,36.95
191504,54.57
191505,58.17
191506,66.07
191507,71.01
191508,70.16
191509,64.42
191510,55.35
191511,43.11
191512,33.17
191601,28.22
191602,33.03
191603,42.15
191604,50.25
191605,59.31
191606,66.31
191607,74.28
191608,71.82
191609,63.5
191610,52.14
191611,40.23
191612,28.94
191701,28.27
191702,30.09
191703,38.35
191704,48.63
191705,55.13
191706,66.97
191707,74.61
191708,71.02
191709,64.09
191710,50.41
191711,43.54
191712,29.64
191801,23.86
191802,33.82
191803,45.75
191804,49.03
191805,60.8
191806,71.15
191807,72.45
191808,72.5
191809,61.92
191810,56.17
191811,40.51
191812,34.45
191901,31.82
191902,32.25
191903,40.89
191904,51.35
191905,60.03
191906,69.3
191907,74.35
191908,72.27
191909,65.64
191910,52.59
191911,39.31
191912,28.78
192001,29.23
192002,33.69
192003,40.28
192004,46.78
192005,59.31
192006,67.37
192007,72.7
192008,70.63
192009,65.44
192010,54.63
192011,39.7
192012,33.13
192101,34.36
192102,36.9
192103,46.63
192104,51.01
192105,60.1
192106,70.36
192107,74.66
192108,72.03
192109,66.54
192110,55.35
192111,42.58
192112,35.08
192201,26.8
192202,31.95
192203,40.42
192204,50.31
192205,61.18
192206,70.14
192207,73
192208,72.81
192209,67.28
192210,55.02
192211,41.86
192212,33.55
