Tract ID,1 deg,2 deg,3 deg,4 deg,5 deg
1001020100,11.8,26.0,39.2,52.4,63.6
1001020200,11.8,26.0,39.2,52.4,63.6
1001020300,11.8,26.0,39.2,52.4,63.6
1001020400,11.8,26.0,39.2,52.4,63.6
1001020500,11.4,25.5,38.7,52.0,63.3
1001020600,11.8,26.0,39.2,52.4,63.6
1001020700,11.2,25.9,39.5,52.8,64.6
1001020801,11.4,26.0,39.5,52.7,64.2
1001020802,11.4,25.4,38.2,51.2,61.8
1001020900,9.6,22.5,34.5,47.1,57.0
1001021000,10.8,24.4,36.9,49.6,59.6
1001021100,11.5,25.3,38.2,51.2,61.5
1003010100,9.9,22.4,35.8,45.6,58.9
1003010200,8.7,20.1,32.7,42.1,55.3
1003010300,8.8,20.3,32.6,41.4,55.3
1003010400,7.5,18.3,30.1,38.3,52.0
1003010500,8.1,19.1,31.0,40.2,53.4
1003010600,8.0,18.9,30.8,39.9,53.3
1003010701,8.5,19.5,31.5,39.6,53.6
1003010703,7.1,17.3,28.6,36.2,49.5
1003010704,7.6,18.0,29.5,37.1,50.7
1003010705,8.2,19.1,30.8,38.6,52.6
1003010800,7.1,17.2,28.3,35.6,49.0
1003010903,7.2,17.5,28.8,36.3,49.8
1003010904,7.4,17.8,29.3,37.1,50.8
1003010905,7.2,17.3,28.5,35.9,49.6
1003010906,7.4,17.9,29.5,37.2,50.7
1003011000,7.1,17.2,28.3,35.8,49.6
1003011101,7.0,17.0,27.8,35.0,48.3
1003011102,7.0,16.9,27.7,35.0,48.5
1003011201,7.0,16.9,27.7,34.8,48.1
1003011202,7.0,16.9,27.7,34.8,48.1
1003011300,6.4,15.6,25.9,33.0,46.4
1003011401,6.7,16.4,27.1,34.4,48.2
1003011403,6.4,15.8,26.2,33.5,47.2
1003011405,6.5,15.7,26.0,33.3,46.9
1003011406,6.2,15.2,25.4,32.6,46.3
1003011407,5.7,14.4,24.3,31.3,44.7
1003011408,4.4,11.7,20.5,27.2,39.6
1003011501,6.7,16.4,27.1,34.5,48.4
1003011502,6.7,16.4,27.1,34.5,48.4
1003011601,6.7,16.2,26.8,34.2,47.8
1003011602,7.0,16.8,27.6,35.2,49.2
1005950100,12.1,26.3,40.6,54.1,66.9
1005950200,8.5,20.2,33.5,45.8,57.9
1005950300,9.2,21.5,35.5,48.1,60.3
1005950400,10.2,23.0,37.4,50.2,63.1
1005950500,10.0,22.5,36.4,49.0,61.2
1005950600,10.6,23.8,37.8,50.9,63.4
1005950700,10.8,24.3,38.3,51.6,64.1
1005950800,12.3,26.4,40.7,53.9,66.7
1005950900,12.1,26.0,40.4,53.7,66.5
1007010001,9.3,22.9,35.5,48.9,59.9
1007010002,9.0,22.8,35.2,48.4,59.3
1007010003,9.9,23.2,35.6,48.8,59.3
1007010004,9.8,23.2,35.8,48.8,59.1
1009050101,6.9,18.9,29.7,42.8,51.2
1009050102,8.7,21.7,33.3,46.7,55.6
1009050200,9.3,22.9,34.9,48.6,57.9
1009050300,8.7,21.8,33.5,47.0,56.3
1009050400,8.2,21.0,32.4,45.7,55.0
1009050500,7.6,20.5,31.9,45.3,54.6
1009050601,7.3,19.8,31.3,44.5,53.9
1009050602,7.5,20.4,32.1,45.6,55.1
1009050700,7.9,20.9,32.8,46.4,55.7
1011952100,9.7,22.6,36.3,49.6,61.6
1011952200,10.2,23.4,37.5,51.0,63.2
1011952500,10.2,23.7,37.9,51.3,63.7
1013952700,8.7,21.7,34.9,47.1,59.0
1013952800,9.3,22.3,35.7,47.8,59.6
1013952900,9.3,22.3,35.7,47.8,59.6
1013953000,9.6,22.7,36.3,48.6,60.3
1013953100,9.6,22.9,36.4,48.7,60.6
1013953200,9.7,23.1,36.8,49.2,61.4
1013953300,10.4,23.6,37.7,50.0,62.0
1013953400,11.2,24.7,39.3,51.6,64.1
