Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,0.2,0.9,2.1,4.5,9.6
,Southwest,0.9,2.8,4.7,8.2,12.8
,Southern Plains,9.6,20.3,30.9,41.2,50.4
,Northern Plains,1.7,5.4,10.5,19.5,27.3
,Midwest,1.8,5.8,11.4,21.4,26.9
,Southeast,4.9,14.3,23.4,35.3,45.3
,Northeast,1.0,3.5,8.2,15.0,22.1
,NATIONAL,1.6,4.9,9.8,17.5,23.9
Mean - Medium Tercile,Northwest,1.1,3.2,6.7,11.1,19.3
,Southwest,6.6,15.9,22.5,33.9,44.6
,Southern Plains,13.8,26.9,39.4,51.5,60.4
,Northern Plains,4.5,12.2,20.2,32.3,39.3
,Midwest,3.2,9.5,17.1,29.7,36.4
,Southeast,7.4,19.5,30.6,44.3,55.4
,Northeast,2.3,6.8,13.6,23.3,30.9
,NATIONAL,4.9,13.5,22.2,34.9,43.7
Mean - Highest Tercile,Northwest,4.2,10.3,18.7,30.3,43.3
,Southwest,16.1,32.7,44.8,60.0,78.0
,Southern Plains,16.8,31.2,44.6,58.8,72.0
,Northern Plains,6.9,16.8,26.0,38.3,44.8
,Midwest,6.4,16.5,26.3,40.3,47.5
,Southeast,10.7,24.9,38.1,51.6,64.1
,Northeast,4.1,11.3,19.6,33.0,41.5
,NATIONAL,12.0,25.7,37.8,51.5,63.9
Median - Lowest Tercile,Northwest,0.3,1.1,2.7,5.6,11.7
,Southwest,0.6,1.9,3.3,6.4,10.6
,Southern Plains,9.3,20.3,30.9,41.1,50.9
,Northern Plains,1.9,5.9,11.6,21.1,29.4
,Midwest,1.9,6.2,12.1,22.5,28.0
,Southeast,5.3,15.4,25.0,37.4,48.1
,Northeast,1.1,3.7,8.6,15.4,22.9
,NATIONAL,1.7,5.3,10.7,19.3,26.6
Median - Medium Tercile,Northwest,1.1,3.4,7.2,11.5,19.9
,Southwest,6.6,15.4,21.8,34.1,44.2
,Southern Plains,13.7,27.1,39.5,51.7,61.0
,Northern Plains,4.6,12.3,20.6,33.0,39.6
,Midwest,3.2,9.5,17.1,29.6,36.7
,Southeast,7.3,19.4,30.4,44.2,55.5
,Northeast,2.3,6.9,13.7,23.5,30.8
,NATIONAL,4.8,13.6,22.1,35.0,44.1
Median - Highest Tercile,Northwest,3.9,9.6,18.4,31.1,44.7
,Southwest,15.7,32.3,43.9,59.3,76.0
,Southern Plains,16.5,30.7,44.0,57.8,70.5
,Northern Plains,6.8,16.8,25.9,37.6,44.0
,Midwest,5.6,15.3,24.9,39.4,46.9
,Southeast,10.4,24.6,37.7,51.4,63.3
,Northeast,4.0,11.1,19.2,32.2,40.4
,NATIONAL,11.1,24.5,36.7,50.1,61.1
