Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,-0.1,-0.1,0.0,0.0,0.0
,Southwest,-1.0,-0.8,-0.5,-0.1,0.0
,Southern Plains,1.6,7.3,13.5,19.1,28.3
,Northern Plains,0.0,0.0,0.0,0.3,0.9
,Midwest,0.0,0.0,0.1,0.4,0.8
,Southeast,0.0,0.5,1.4,4.5,6.8
,Northeast,0.0,0.1,0.5,1.0,1.9
,NATIONAL,-1.0,-0.8,-0.5,-0.1,0.0
max - lowest tercile; min - medium tercile,Northwest,0.4,1.5,3.6,7.0,13.9
,Southwest,3.1,8.3,12.8,20.8,29.1
,Southern Plains,12.5,24.4,36.2,47.6,56.2
,Northern Plains,3.1,8.7,15.8,26.6,35.9
,Midwest,2.5,7.6,14.5,26.3,32.4
,Southeast,6.3,17.4,27.8,41.0,51.6
,Northeast,1.7,5.2,11.2,20.2,27.8
,NATIONAL,2.9,8.6,15.7,27.3,34.6
max - medium tercile; min - highest tercile,Northwest,1.8,5.0,9.7,15.3,24.6
,Southwest,10.8,23.2,31.1,43.8,57.3
,Southern Plains,15.2,28.9,41.9,53.9,63.8
,Northern Plains,5.4,14.7,23.4,35.6,42.0
,Midwest,3.9,11.6,19.8,33.6,40.3
,Southeast,8.6,21.8,33.9,47.9,59.0
,Northeast,2.9,8.2,15.6,26.9,34.9
,NATIONAL,7.4,18.9,29.1,41.9,52.4
maximum,Northwest,11.5,23.3,37.1,55.2,71.0
,Southwest,30.0,49.5,65.9,83.8,105.3
,Southern Plains,25.4,43.0,59.3,81.8,98.8
,Northern Plains,12.1,24.1,35.0,46.4,53.0
,Midwest,13.8,29.9,41.9,58.3,66.4
,Southeast,17.4,33.0,48.1,63.3,77.4
,Northeast,6.8,19.1,30.9,47.9,59.2
,NATIONAL,30.0,49.5,65.9,83.8,105.3
