Census block group ID,1 deg,2 deg,3 deg,4 deg,5 deg
10010201001,0.09%,0.07%,-0.15%,-0.11%,-0.08%
10010202002,0.05%,0.04%,-0.08%,-0.07%,-0.05%
10010203002,0.03%,0.03%,-0.05%,-0.05%,-0.04%
10010205001,0.03%,0.06%,-0.01%,-0.01%,-0.01%
10010206001,0.07%,0.07%,-0.07%,-0.07%,-0.07%
10010206002,0.02%,0.03%,0.00%,-0.01%,-0.02%
10010207001,0.03%,0.04%,-0.03%,-0.03%,-0.03%
10010208011,0.07%,0.15%,-0.05%,0.12%,0.30%
10010208012,0.01%,0.02%,-0.01%,-0.02%,-0.02%
10010208021,0.06%,0.05%,-0.11%,-0.08%,-0.04%
10010209001,0.05%,0.03%,-0.15%,-0.04%,0.07%
10010209004,0.00%,0.00%,0.00%,0.00%,0.00%
10010210001,0.02%,0.02%,-0.05%,0.00%,0.04%
10010210002,0.06%,0.08%,-0.13%,-0.05%,0.04%
10010211001,0.02%,0.02%,-0.04%,-0.01%,0.01%
10010211002,0.06%,0.09%,-0.14%,0.03%,0.19%
10010211003,0.09%,0.14%,-0.17%,0.05%,0.26%
10030101001,0.11%,0.13%,0.05%,0.22%,0.39%
10030104003,0.00%,0.00%,0.00%,0.00%,0.00%
10030107031,0.06%,0.10%,0.17%,0.30%,0.44%
10030109033,0.12%,0.18%,0.30%,0.54%,0.77%
10030109051,0.15%,0.22%,0.39%,0.69%,0.99%
10030114011,0.11%,0.16%,0.30%,0.51%,0.73%
10030114012,0.02%,0.03%,0.04%,0.08%,0.11%
10059501001,0.04%,0.30%,-0.07%,0.22%,0.51%
10059501002,0.00%,0.18%,-0.04%,0.13%,0.30%
10059501003,0.04%,0.25%,-0.02%,0.13%,0.28%
10059502001,0.00%,0.13%,-0.02%,0.10%,0.21%
10059503002,0.24%,0.53%,0.01%,0.33%,0.64%
10059505001,0.01%,0.06%,0.00%,0.02%,0.04%
10059505002,0.02%,0.08%,0.01%,0.03%,0.06%
10059505003,0.00%,0.02%,0.00%,0.00%,0.01%
10059506001,0.02%,0.08%,0.00%,0.03%,0.06%
10059506002,0.06%,0.27%,-0.02%,0.11%,0.24%
10059507001,0.00%,0.00%,0.00%,0.00%,0.00%
10059507002,0.03%,0.14%,0.00%,0.06%,0.13%
10059508001,0.07%,0.29%,-0.01%,0.12%,0.25%
10059508002,0.02%,0.11%,-0.02%,0.04%,0.10%
10059509001,0.04%,0.15%,-0.01%,0.05%,0.11%
10059509002,0.05%,0.19%,-0.01%,0.09%,0.18%
10059509003,0.02%,0.14%,-0.06%,0.06%,0.18%
10070100011,0.00%,0.03%,-0.02%,0.02%,0.06%
10070100012,0.00%,-0.03%,-0.01%,-0.01%,-0.01%
10070100021,0.00%,0.02%,-0.04%,0.02%,0.07%
10070100022,-0.01%,-0.02%,-0.04%,-0.03%,-0.02%
10070100031,0.00%,0.04%,-0.03%,0.02%,0.08%
10070100032,0.00%,0.09%,-0.07%,0.06%,0.19%
10070100033,0.00%,0.05%,-0.06%,0.04%,0.14%
10070100041,0.00%,0.05%,-0.05%,0.07%,0.19%
10070100044,0.00%,0.07%,-0.06%,0.04%,0.14%
10070100046,0.00%,0.04%,-0.04%,0.03%,0.10%
10090501013,0.04%,0.12%,0.07%,0.16%,0.26%
10090501014,0.06%,0.15%,0.09%,0.21%,0.33%
10090501015,0.05%,0.12%,0.07%,0.17%,0.27%
10090501022,0.05%,0.14%,0.09%,0.20%,0.30%
10090501023,0.05%,0.12%,0.07%,0.17%,0.26%
10090501024,0.08%,0.21%,0.12%,0.29%,0.46%
10090502001,0.06%,0.17%,0.10%,0.23%,0.36%
10090502002,0.05%,0.13%,0.07%,0.17%,0.27%
10090503001,0.06%,0.17%,0.12%,0.21%,0.31%
10090503002,0.07%,0.23%,0.14%,0.29%,0.43%
10090503003,0.07%,0.18%,0.11%,0.25%,0.39%
10090503004,0.00%,0.01%,0.00%,0.01%,0.01%
10090504001,-0.01%,-0.01%,-0.01%,-0.01%,-0.01%
10090504002,0.00%,0.00%,0.00%,0.00%,0.00%
10090504003,0.07%,0.29%,0.10%,0.34%,0.58%
10090504004,0.04%,0.11%,0.06%,0.14%,0.23%
10090505001,0.05%,0.16%,0.09%,0.21%,0.34%
10090505002,0.04%,0.20%,0.06%,0.21%,0.36%
10090505003,0.07%,0.19%,0.11%,0.26%,0.41%
