Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,-0.03%,-0.04%,-0.02%,-0.04%,-0.08%
,Southwest,-0.01%,-0.01%,-0.01%,-0.02%,-0.04%
,Southern Plains,-0.06%,-0.04%,-0.03%,-0.04%,-0.08%
,Northern Plains,-0.03%,-0.01%,0.00%,-0.07%,-0.22%
,Midwest,-0.27%,-0.22%,-0.16%,-0.09%,-0.10%
,Southeast,-0.05%,-0.04%,-0.07%,-0.02%,-0.04%
,Northeast,-0.14%,-0.06%,-0.04%,-0.04%,-0.10%
,NATIONAL,-0.13%,-0.10%,-0.08%,-0.05%,-0.08%
Mean - Medium Tercile,Northwest,0.10%,0.14%,0.30%,0.35%,0.39%
,Southwest,0.00%,0.03%,0.04%,0.06%,0.08%
,Southern Plains,0.01%,0.03%,0.04%,0.07%,0.10%
,Northern Plains,0.02%,0.08%,0.08%,0.03%,0.00%
,Midwest,-0.02%,0.00%,0.01%,0.05%,0.07%
,Southeast,0.03%,0.09%,0.09%,0.12%,0.14%
,Northeast,0.02%,0.05%,0.08%,0.07%,0.06%
,NATIONAL,0.01%,0.04%,0.05%,0.08%,0.09%
Mean - Highest Tercile,Northwest,0.42%,0.68%,1.06%,1.26%,1.49%
,Southwest,0.11%,0.29%,0.41%,0.64%,0.88%
,Southern Plains,0.14%,0.20%,0.24%,0.33%,0.46%
,Northern Plains,0.23%,0.40%,0.48%,0.46%,0.50%
,Midwest,0.09%,0.16%,0.21%,0.31%,0.48%
,Southeast,0.17%,0.34%,0.40%,0.46%,0.61%
,Northeast,0.21%,0.26%,0.31%,0.32%,0.40%
,NATIONAL,0.16%,0.28%,0.37%,0.46%,0.61%
Median - Loest Tercile,Northwest,0.00%,0.00%,0.02%,0.02%,0.01%
,Southwest,0.00%,0.00%,0.00%,0.00%,0.00%
,Southern Plains,-0.04%,-0.01%,0.00%,0.00%,-0.01%
,Northern Plains,-0.01%,0.00%,0.00%,-0.04%,-0.15%
,Midwest,-0.17%,-0.12%,-0.07%,-0.03%,-0.03%
,Southeast,-0.02%,0.00%,0.00%,0.00%,0.00%
,Northeast,-0.07%,-0.02%,0.00%,0.00%,-0.05%
,NATIONAL,-0.06%,-0.03%,-0.01%,0.00%,-0.01%
Median - Medium Tercile,Northwest,0.10%,0.13%,0.29%,0.34%,0.37%
,Southwest,0.00%,0.02%,0.04%,0.05%,0.06%
,Southern Plains,0.00%,0.03%,0.04%,0.07%,0.09%
,Northern Plains,0.02%,0.07%,0.08%,0.02%,0.00%
,Midwest,-0.02%,0.00%,0.01%,0.04%,0.07%
,Southeast,0.02%,0.09%,0.09%,0.11%,0.13%
,Northeast,0.02%,0.04%,0.08%,0.06%,0.05%
,NATIONAL,0.00%,0.03%,0.05%,0.07%,0.08%
Median - Highest Tercile,Northwest,0.34%,0.50%,0.87%,1.04%,1.20%
,Southwest,0.05%,0.17%,0.25%,0.41%,0.56%
,Southern Plains,0.10%,0.14%,0.18%,0.26%,0.38%
,Northern Plains,0.14%,0.29%,0.34%,0.27%,0.26%
,Midwest,0.05%,0.10%,0.15%,0.23%,0.35%
,Southeast,0.12%,0.29%,0.33%,0.37%,0.47%
,Northeast,0.16%,0.19%,0.25%,0.25%,0.29%
,NATIONAL,0.11%,0.20%,0.26%,0.32%,0.43%
