Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,-3.25%,-3.25%,-3.26%,-5.51%,-10.10%
,Southwest,-1.29%,-2.14%,-2.30%,-3.25%,-4.20%
,Southern Plains,-1.02%,-0.76%,-0.77%,-2.90%,-5.18%
,Northern Plains,-1.72%,-2.08%,-2.08%,-3.97%,-7.28%
,Midwest,-7.92%,-7.92%,-7.92%,-7.92%,-14.09%
,Southeast,-2.28%,-2.20%,-2.32%,-3.38%,-6.31%
,Northeast,-8.10%,-3.98%,-2.49%,-3.73%,-6.47%
,NATIONAL,-8.10%,-7.92%,-7.92%,-7.92%,-14.09%
max - lowest tercile; min - medium tercile,Northwest,0.04%,0.05%,0.14%,0.16%,0.17%
,Southwest,0.00%,0.00%,0.01%,0.01%,0.01%
,Southern Plains,-0.01%,0.00%,0.01%,0.02%,0.02%
,Northern Plains,0.00%,0.03%,0.03%,0.00%,-0.04%
,Midwest,-0.07%,-0.03%,-0.01%,0.00%,0.01%
,Southeast,0.00%,0.03%,0.03%,0.05%,0.05%
,Northeast,0.00%,0.00%,0.02%,0.02%,0.00%
,NATIONAL,-0.01%,0.00%,0.01%,0.02%,0.01%
max - medium tercile; min - highest tercile,Northwest,0.18%,0.25%,0.49%,0.57%,0.67%
,Southwest,0.01%,0.06%,0.10%,0.15%,0.20%
,Southern Plains,0.03%,0.07%,0.09%,0.15%,0.20%
,Northern Plains,0.06%,0.14%,0.16%,0.09%,0.05%
,Midwest,0.00%,0.02%,0.05%,0.11%,0.16%
,Southeast,0.06%,0.16%,0.18%,0.21%,0.25%
,Northeast,0.08%,0.10%,0.14%,0.13%,0.13%
,NATIONAL,0.04%,0.09%,0.12%,0.16%,0.20%
maximum,Northwest,3.01%,10.85%,12.97%,12.88%,13.68%
,Southwest,1.65%,3.97%,5.43%,11.13%,16.94%
,Southern Plains,2.59%,2.66%,2.45%,2.61%,3.25%
,Northern Plains,4.79%,5.08%,5.08%,4.88%,4.67%
,Midwest,4.41%,4.45%,4.48%,4.49%,13.11%
,Southeast,5.69%,5.61%,5.44%,5.54%,5.64%
,Northeast,4.11%,4.11%,4.21%,4.27%,4.33%
,NATIONAL,5.69%,10.85%,12.97%,12.88%,16.94%
