Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,65 and Older,2%,2%,5%,5%,5%
Southwest,,15%,15%,12%,9%,8%
Southern Plains,,5%,-2%,2%,3%,5%
Northern Plains,,15%,15%,14%,11%,6%
Midwest,,-3%,-2%,0%,-1%,-1%
Southeast,,5%,6%,3%,1%,3%
Northeast,,-1%,-2%,0%,0%,-1%
NATIONAL,,6%,4%,4%,2%,2%
Northwest,No High School Diploma,-3%,0%,-8%,-6%,-5%
Southwest,,-19%,-17%,-16%,-14%,-13%
Southern Plains,,2%,-6%,7%,9%,13%
Northern Plains,,-4%,-1%,-3%,-5%,-11%
Midwest,,11%,10%,7%,7%,5%
Southeast,,3%,4%,5%,8%,10%
Northeast,,4%,4%,4%,-2%,-3%
NATIONAL,,-4%,-2%,0%,3%,4%
Northwest,Minority,-1%,-2%,-5%,-5%,-6%
Southwest,,-37%,-31%,-24%,-16%,-13%
Southern Plains,,-17%,-1%,-8%,5%,7%
Northern Plains,,-17%,-15%,-13%,-13%,-12%
Midwest,,22%,8%,-3%,4%,7%
Southeast,,-18%,-16%,-21%,-18%,-15%
Northeast,,14%,16%,3%,7%,5%
NATIONAL,,-19%,-12%,-14%,-4%,0%
Northwest,Low Income,-10%,-9%,-12%,-12%,-10%
Southwest,,-4%,-7%,-8%,-7%,-7%
Southern Plains,,3%,-8%,1%,5%,9%
Northern Plains,,1%,2%,3%,2%,-4%
Midwest,,1%,2%,2%,3%,1%
Southeast,,-1%,3%,2%,6%,9%
Northeast,,0%,0%,7%,-1%,-4%
NATIONAL,,-2%,0%,2%,3%,4%
