Means and Medians,,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
Mean - Lowest Tercile,Southwest,94%,63%,37%,25%,37%,34%
,Northwest,97%,95%,91%,44%,33%,31%
,Southern Great Plains,48%,48%,30%,12%,15%,18%
,Southeast - Gulf,68%,42%,27%,16%,18%,19%
,Southeast - Atlantic,94%,56%,37%,26%,32%,33%
,Northeast,98%,93%,50%,28%,20%,19%
,NATIONAL,71%,65%,52%,33%,32%,32%
Mean - Medium Tercile,Southwest,NA,NA,91%,78%,86%,86%
,Northwest,NA,NA,NA,94%,84%,82%
,Southern Great Plains,96%,93%,90%,52%,52%,56%
,Southeast - Gulf,99%,94%,86%,65%,59%,61%
,Southeast - Atlantic,NA,99%,91%,78%,81%,83%
,Northeast,NA,NA,93%,81%,69%,68%
,NATIONAL,100%,100%,99%,89%,86%,86%
Mean - Highest Tercile,Southwest,100%,100%,100%,100%,100%,100%
,Northwest,100%,100%,100%,100%,100%,100%
,Southern Great Plains,100%,100%,100%,98%,97%,97%
,Southeast - Gulf,100%,100%,100%,100%,99%,99%
,Southeast - Atlantic,100%,100%,100%,100%,100%,100%
,Northeast,100%,100%,100%,100%,100%,100%
,NATIONAL,100%,100%,100%,100%,100%,100%
Median - Lowest Tercile,Southwest,100%,76%,33%,23%,39%,34%
,Northwest,100%,100%,100%,42%,35%,30%
,Southern Great Plains,46%,53%,27%,9%,16%,19%
,Southeast - Gulf,78%,44%,25%,15%,18%,19%
,Southeast - Atlantic,100%,62%,35%,26%,33%,35%
,Northeast,100%,100%,52%,30%,20%,18%
,NATIONAL,83%,75%,53%,33%,31%,32%
Median - Medium Tercile,Southwest,NA,NA,90%,77%,86%,86%
,Northwest,NA,NA,NA,94%,86%,84%
,Southern Great Plains,97%,93%,91%,52%,52%,54%
,Southeast - Gulf,99%,96%,90%,61%,58%,61%
,Southeast - Atlantic,NA,99%,91%,78%,82%,84%
,Northeast,NA,NA,93%,82%,70%,68%
,NATIONAL,100%,100%,99%,91%,87%,87%
Median - Highest Tercile,Southwest,100%,100%,100%,100%,100%,100%
,Northwest,100%,100%,100%,100%,100%,100%
,Southern Great Plains,100%,100%,100%,100%,100%,100%
,Southeast - Gulf,100%,100%,100%,100%,100%,100%
,Southeast - Atlantic,100%,100%,100%,100%,100%,100%
,Northeast,100%,100%,100%,100%,100%,100%
,NATIONAL,100%,100%,100%,100%,100%,100%
