,,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
Southwest,Low Income,14%,25%,16%,15%,14%,12%
Northwest,,3%,5%,12%,11%,13%,14%
Southern Great Plains,,-2%,1%,0%,5%,12%,9%
Southeast - Gulf,,-1%,3%,4%,4%,7%,9%
Southeast - Atlantic,,6%,8%,14%,23%,24%,23%
Northeast,,-1%,2%,6%,6%,6%,6%
NATIONAL,,0%,2%,9%,13%,15%,15%
Southwest,Minority,-10%,-19%,-9%,-17%,-8%,-1%
Northwest,,3%,4%,0%,3%,0%,3%
Southern Great Plains,,32%,13%,-3%,2%,8%,10%
Southeast - Gulf,,-9%,-9%,-1%,0%,6%,10%
Southeast - Atlantic,,7%,9%,26%,23%,34%,33%
Northeast,,-2%,-2%,5%,5%,5%,10%
NATIONAL,,-2%,-4%,12%,9%,21%,24%
Southwest,No High School Diploma,5%,7%,4%,-4%,4%,6%
Northwest,,-1%,3%,7%,7%,7%,8%
Southern Great Plains,,9%,20%,17%,13%,18%,17%
Southeast - Gulf,,-4%,-1%,5%,12%,14%,16%
Southeast - Atlantic,,6%,9%,18%,28%,29%,29%
Northeast,,3%,4%,9%,11%,12%,12%
NATIONAL,,-1%,-2%,9%,14%,18%,18%
Southwest,65 and Older,3%,10%,4%,7%,2%,-2%
Northwest,,-1%,-2%,0%,0%,-1%,-1%
Southern Great Plains,,-3%,10%,19%,1%,-3%,-3%
Southeast - Gulf,,3%,-6%,-18%,-20%,-20%,-21%
Southeast - Atlantic,,-4%,-6%,-4%,-1%,-5%,-4%
Northeast,,2%,2%,-3%,-3%,-2%,-4%
NATIONAL,,1%,0%,-4%,-3%,-7%,-7%
