Means and Medians,,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
Mean - Lowest Tercile,Southwest,0%,0%,0%,2%,3%,3%
,Northwest,0%,0%,1%,1%,4%,5%
,Southern Great Plains,0%,0%,1%,1%,2%,3%
,Southeast - Gulf,0%,0%,1%,1%,3%,3%
,Southeast - Atlantic,0%,0%,1%,3%,6%,8%
,Northeast,0%,0%,0%,1%,2%,2%
,NATIONAL,0%,0%,1%,2%,4%,5%
Mean - Medium Tercile,Southwest,1%,1%,3%,7%,13%,17%
,Northwest,1%,3%,4%,7%,13%,18%
,Southern Great Plains,0%,1%,4%,8%,9%,13%
,Southeast - Gulf,0%,1%,3%,7%,12%,15%
,Southeast - Atlantic,1%,1%,6%,12%,21%,27%
,Northeast,0%,1%,2%,4%,9%,11%
,NATIONAL,1%,2%,6%,12%,19%,24%
Mean - Highest Tercile,Southwest,7%,12%,17%,31%,44%,51%
,Northwest,7%,12%,18%,24%,33%,40%
,Southern Great Plains,1%,6%,25%,46%,53%,57%
,Southeast - Gulf,5%,12%,21%,34%,46%,54%
,Southeast - Atlantic,7%,11%,28%,56%,71%,76%
,Northeast,3%,8%,13%,19%,30%,36%
,NATIONAL,7%,14%,27%,48%,61%,66%
Median - Lowest Tercile,Southwest,0%,0%,0%,1%,3%,3%
,Northwest,0%,0%,1%,1%,4%,4%
,Southern Great Plains,0%,0%,1%,1%,2%,2%
,Southeast - Gulf,0%,0%,0%,1%,3%,3%
,Southeast - Atlantic,0%,0%,1%,2%,5%,8%
,Northeast,0%,0%,0%,1%,2%,2%
,NATIONAL,0%,0%,1%,2%,4%,5%
Median - Medium Tercile,Southwest,1%,1%,3%,7%,13%,17%
,Northwest,1%,3%,4%,7%,13%,18%
,Southern Great Plains,0%,1%,4%,7%,9%,13%
,Southeast - Gulf,0%,1%,3%,6%,12%,14%
,Southeast - Atlantic,1%,1%,5%,12%,20%,27%
,Northeast,0%,1%,2%,4%,8%,11%
,NATIONAL,1%,2%,6%,11%,18%,24%
Median - Highest Tercile,Southwest,4%,9%,13%,25%,37%,46%
,Northwest,6%,10%,15%,21%,28%,36%
,Southern Great Plains,1%,4%,20%,38%,46%,51%
,Southeast - Gulf,2%,7%,15%,28%,41%,48%
,Southeast - Atlantic,5%,8%,22%,49%,72%,79%
,Northeast,2%,5%,9%,15%,25%,31%
,NATIONAL,4%,10%,22%,38%,54%,62%
