Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
10030101001,0%,4%,21%,45%,62%,70%
10030101002,0%,34%,71%,83%,84%,87%
10030103002,0%,1%,4%,8%,7%,11%
10030103003,0%,26%,44%,47%,41%,48%
10030107011,0%,0%,0%,1%,6%,7%
10030107013,0%,1%,2%,2%,2%,4%
10030107014,0%,0%,2%,4%,7%,8%
10030107032,0%,0%,1%,2%,6%,11%
10030107041,0%,0%,0%,1%,10%,21%
10030107051,0%,0%,3%,7%,9%,12%
10030107052,0%,0%,0%,0%,3%,10%
10030108002,0%,0%,1%,7%,14%,17%
10030109042,1%,7%,11%,17%,20%,27%
10030109051,0%,0%,0%,0%,4%,10%
10030110001,0%,0%,2%,5%,22%,37%
10030111021,0%,1%,5%,12%,14%,22%
10030111022,0%,0%,0%,1%,12%,18%
10030112011,0%,0%,0%,1%,7%,8%
10030112012,0%,0%,0%,0%,0%,0%
10030112022,0%,0%,0%,1%,9%,14%
10030113001,0%,0%,1%,4%,18%,25%
10030113002,0%,3%,9%,15%,25%,35%
10030113003,0%,1%,2%,2%,4%,9%
10030113004,0%,2%,7%,25%,51%,62%
10030114012,0%,0%,1%,3%,8%,14%
10030114013,0%,1%,4%,7%,17%,25%
10030114014,0%,4%,10%,12%,13%,22%
10030114015,0%,1%,2%,6%,12%,19%
10030114031,0%,3%,11%,21%,33%,44%
10030114032,0%,2%,5%,10%,5%,11%
10030114033,0%,1%,6%,10%,15%,25%
10030114051,0%,0%,0%,2%,11%,17%
10030114052,0%,0%,0%,1%,10%,17%
10030114061,0%,2%,5%,6%,7%,15%
10030114062,0%,0%,0%,1%,12%,19%
10030114063,0%,0%,1%,4%,11%,17%
10030114071,0%,0%,1%,2%,5%,12%
10030114072,0%,0%,1%,6%,22%,31%
10030114073,0%,0%,0%,2%,24%,47%
10030114081,0%,0%,1%,5%,16%,24%
10030115024,0%,1%,3%,4%,11%,18%
10030116011,0%,1%,18%,27%,17%,25%
10030116012,0%,0%,1%,4%,6%,10%
10030116013,1%,4%,8%,12%,18%,25%
10030116014,1%,7%,13%,20%,30%,40%
10030116021,0%,2%,16%,26%,32%,35%
10030116022,1%,6%,17%,29%,38%,42%
10030116023,0%,6%,13%,21%,25%,32%
10030116024,0%,1%,8%,15%,21%,30%
10970002001,0%,0%,0%,0%,0%,1%
10970004011,0%,0%,0%,0%,1%,2%
10970004021,0%,0%,0%,0%,0%,0%
10970005001,0%,0%,0%,0%,5%,17%
10970006001,0%,0%,0%,0%,0%,5%
10970006002,0%,0%,0%,0%,0%,4%
10970009011,0%,0%,0%,0%,0%,0%
10970012001,0%,2%,18%,30%,38%,42%
10970018001,0%,0%,2%,4%,8%,13%
10970018002,0%,0%,0%,1%,1%,1%
10970019012,0%,0%,1%,3%,6%,9%
10970019021,0%,0%,0%,1%,2%,3%
10970019022,0%,0%,0%,0%,2%,4%
10970019023,0%,0%,2%,4%,4%,6%
10970020001,0%,0%,0%,2%,10%,14%
10970020002,0%,0%,1%,2%,4%,6%
10970022002,0%,0%,0%,0%,0%,0%
10970023013,0%,0%,0%,0%,0%,2%
10970025021,0%,0%,0%,0%,0%,1%
10970030001,0%,0%,0%,0%,0%,1%
10970037093,0%,0%,0%,0%,0%,0%
10970038001,0%,1%,3%,5%,8%,10%
10970050001,0%,0%,0%,0%,0%,1%
10970050002,0%,0%,0%,0%,0%,1%
10970053001,0%,0%,0%,1%,4%,7%
10970054002,0%,0%,1%,2%,3%,5%
10970055001,0%,0%,2%,3%,4%,4%
10970055002,0%,0%,0%,0%,0%,1%
10970056001,0%,0%,0%,0%,1%,2%
10970056002,0%,0%,0%,0%,1%,1%
10970056003,0%,0%,0%,0%,0%,0%
10970057002,0%,0%,0%,0%,0%,0%
10970057003,0%,8%,18%,23%,26%,32%
10970058001,0%,8%,16%,21%,20%,23%
10970058003,0%,8%,23%,32%,31%,36%
10970061051,0%,0%,4%,5%,9%,13%
10970066004,0%,2%,16%,34%,38%,41%
10970068021,0%,0%,0%,0%,0%,1%
10970068022,0%,0%,0%,0%,0%,0%
10970070001,0%,0%,2%,6%,9%,11%
10970070002,0%,0%,0%,1%,2%,4%
10970070003,0%,0%,1%,2%,3%,5%
10970071021,0%,0%,0%,1%,2%,5%
10970071031,0%,0%,2%,5%,7%,10%
10970071032,0%,1%,3%,5%,4%,7%
10970072011,0%,0%,3%,6%,8%,12%
10970072021,0%,1%,9%,24%,45%,52%
10970072022,0%,1%,8%,23%,33%,37%
10970072023,0%,8%,29%,40%,46%,49%
10970073001,0%,0%,2%,7%,19%,25%
10970073002,0%,4%,16%,36%,56%,60%
10970073003,0%,0%,2%,5%,11%,12%
10970073004,0%,3%,11%,29%,53%,58%
10970074001,0%,1%,4%,7%,7%,10%
10970074003,0%,0%,1%,2%,4%,7%
10970074004,0%,0%,1%,2%,2%,4%
60014015003,0%,0%,0%,0%,0%,2%
60014016001,0%,0%,0%,0%,13%,33%
60014016002,0%,0%,0%,0%,23%,44%
60014017001,0%,0%,1%,13%,52%,63%
60014017002,0%,0%,0%,2%,32%,54%
60014017003,0%,0%,0%,16%,50%,50%
60014018001,0%,0%,0%,0%,1%,5%
60014022001,0%,0%,0%,0%,3%,15%
60014022003,0%,0%,0%,1%,25%,50%
60014024001,0%,0%,0%,0%,1%,10%
60014033001,0%,0%,0%,0%,0%,3%
60014034001,0%,0%,0%,0%,2%,4%
60014053012,0%,0%,0%,0%,14%,48%
60014053021,0%,0%,0%,0%,14%,35%
60014060001,0%,0%,2%,10%,22%,34%
60014060002,0%,0%,0%,0%,0%,0%
60014060003,0%,0%,0%,0%,10%,22%
60014061002,0%,0%,0%,0%,5%,10%
60014061003,0%,0%,0%,0%,0%,1%
60014073001,0%,0%,0%,0%,30%,62%
60014073002,0%,0%,1%,4%,30%,56%
60014088001,0%,0%,0%,0%,0%,2%
60014088002,0%,0%,0%,0%,42%,77%
60014088003,0%,0%,0%,0%,7%,19%
60014088004,0%,0%,0%,0%,16%,37%
60014089001,0%,0%,0%,3%,23%,42%
60014089002,0%,0%,0%,0%,12%,32%
60014090001,0%,0%,2%,11%,27%,37%
60014090002,0%,3%,14%,21%,31%,35%
