Tract ID,1 deg,2 deg,3 deg,4 deg,5 deg
1009050101,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050102,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050200,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050300,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050400,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050500,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050601,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050602,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1009050700,5.67E-06,1.79E-05,3.55E-05,5.44E-05,9.21E-05
1073000100,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073000300,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073000400,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073000500,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073000700,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073000800,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001100,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001200,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001400,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001500,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001600,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073001902,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002000,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002100,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002200,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002303,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002305,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
1073002306,8.67E-06,2.73E-05,5.43E-05,8.31E-05,1.41E-04
