,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
1003010100,1.000,1.000,0.865,0.598,0.590,0.590
1003010300,1.000,0.952,0.198,0.123,0.122,0.121
1003010701,1.000,0.947,0.140,0.116,0.117,0.116
1003010703,1.000,0.946,0.096,0.008,0.003,0.002
1003010704,1.000,0.940,0.029,0.002,0.003,0.001
1003010705,1.000,0.940,0.029,0.002,0.003,0.001
1003010800,1.000,0.944,0.107,0.009,0.003,0.002
1003010904,1.000,1.000,0.817,0.454,0.443,0.444
1003010905,1.000,1.000,0.948,0.791,0.776,0.777
1003011000,1.000,1.000,0.930,0.831,0.829,0.830
1003011102,1.000,1.000,0.963,0.850,0.840,0.840
1003011201,1.000,1.000,0.768,0.070,0.004,0.005
1003011202,1.000,1.000,0.918,0.671,0.648,0.648
1003011300,1.000,1.000,0.963,0.850,0.840,0.840
1003011401,1.000,1.000,0.646,0.284,0.290,0.289
1003011403,1.000,1.000,0.654,0.267,0.285,0.285
1003011405,1.000,1.000,0.985,0.658,0.726,0.727
1003011406,1.000,1.000,0.601,0.157,0.176,0.176
1003011407,1.000,1.000,0.524,0.102,0.105,0.104
1003011408,1.000,1.000,1.008,1.010,1.012,1.009
1003011502,1.000,1.000,0.615,0.195,0.206,0.205
1003011601,1.000,1.000,0.651,0.261,0.279,0.278
1003011602,1.000,1.000,0.986,0.669,0.736,0.736
1097000200,1.000,0.652,0.043,0.002,0.003,0.003
1097000401,1.000,0.678,0.048,0.002,0.003,0.002
1097000402,1.000,0.678,0.048,0.002,0.003,0.002
1097000500,1.000,0.678,0.048,0.002,0.003,0.002
1097000600,1.000,0.678,0.048,0.002,0.003,0.002
1097000901,1.000,0.652,0.043,0.002,0.003,0.003
1097001200,0.958,0.603,0.036,0.002,0.003,0.004
1097001800,0.936,0.557,0.068,0.006,0.004,0.010
1097001901,0.936,0.557,0.068,0.006,0.004,0.010
1097001902,0.934,0.541,0.066,0.006,0.004,0.010
1097002000,0.937,0.566,0.059,0.005,0.004,0.010
1097002200,0.938,0.570,0.024,0.003,0.003,0.008
1097002301,0.938,0.570,0.024,0.003,0.003,0.008
1097002502,1.000,0.652,0.043,0.002,0.003,0.003
1097003000,0.932,0.541,0.066,0.006,0.004,0.010
1097003709,0.922,0.482,0.017,0.004,0.004,0.011
1097003800,1.000,0.698,0.048,0.002,0.003,0.002
1097005000,1.000,0.677,0.046,0.002,0.003,0.002
1097005300,1.000,0.677,0.046,0.002,0.003,0.002
1097005400,1.000,0.677,0.046,0.002,0.003,0.002
1097005500,1.000,0.657,0.049,0.002,0.003,0.001
1097005600,1.000,0.657,0.049,0.002,0.003,0.001
1097005700,1.000,0.657,0.049,0.002,0.003,0.001
1097005800,0.000,0.000,0.000,0.000,0.000,0.000
1097006105,1.000,0.677,0.046,0.002,0.003,0.002
1097006600,1.000,1.000,1.000,1.000,1.000,1.000
1097006802,0.932,0.541,0.066,0.006,0.004,0.010
1097007000,0.938,0.569,0.091,0.006,0.004,0.010
1097007102,0.940,0.580,0.129,0.061,0.064,0.070
1097007103,0.950,0.675,0.413,0.427,0.449,0.453
1097007201,1.000,1.000,0.990,1.000,1.000,1.000
1097007202,1.000,1.000,1.000,1.000,1.000,1.000
1097007300,1.000,1.000,1.000,1.000,1.000,1.000
1097007400,0.941,0.589,0.060,0.005,0.004,0.009
6001401500,1.000,1.000,0.919,0.790,0.355,0.027
6001401600,1.000,1.000,0.929,0.817,0.396,0.036
6001401700,1.000,1.000,0.947,0.862,0.439,0.038
6001401800,1.000,1.000,0.924,0.804,0.376,0.031
6001402200,1.000,1.000,0.939,0.839,0.420,0.039
6001402400,1.000,1.000,0.936,0.832,0.412,0.038
6001403300,1.000,1.000,0.960,0.896,0.489,0.049
6001403400,1.000,1.000,0.960,0.896,0.488,0.049
6001405301,1.000,1.000,0.960,0.895,0.489,0.049
6001405302,1.000,1.000,0.960,0.895,0.490,0.049
6001406000,1.000,1.000,0.912,0.851,0.472,0.050
6001406100,1.000,1.000,0.911,0.853,0.480,0.051
6001407300,1.000,1.000,0.917,0.867,0.482,0.048
6001408800,1.000,1.000,0.909,0.862,0.500,0.053
6001408900,1.000,1.000,0.905,0.857,0.507,0.055
6001409000,1.000,1.000,0.919,0.869,0.480,0.047
6001409500,1.000,1.000,0.903,0.854,0.509,0.056
6001410500,1.000,1.000,0.939,0.839,0.420,0.039
6001420300,1.000,1.000,1.000,0.911,0.293,0.000
6001420400,1.000,1.000,1.000,0.916,0.297,0.000
6001422000,1.000,1.000,1.000,0.943,0.342,0.002
6001425101,1.000,1.000,1.000,0.943,0.342,0.002
6001425102,1.000,1.000,1.000,0.941,0.334,0.000
6001425103,1.000,1.000,1.000,0.941,0.334,0.000
6001425104,1.000,1.000,0.902,0.751,0.302,0.015
6001427100,1.000,1.000,0.914,0.860,0.484,0.050
6001427200,1.000,1.000,0.911,0.851,0.476,0.051
6001427300,1.000,1.000,0.911,0.850,0.474,0.051
6001427600,1.000,1.000,0.960,0.896,0.492,0.050
6001427700,1.000,1.000,0.911,0.850,0.474,0.051
6001427800,1.000,1.000,0.910,0.850,0.475,0.051
6001428100,1.000,1.000,0.917,0.865,0.482,0.048
6001428200,1.000,1.000,0.918,0.866,0.480,0.047
6001428301,1.000,1.000,0.918,0.868,0.480,0.047
6001428302,1.000,1.000,0.918,0.868,0.481,0.047
6001428400,1.000,1.000,0.915,0.858,0.478,0.049
6001428500,1.000,1.000,0.910,0.850,0.477,0.052
6001428600,1.000,1.000,0.911,0.851,0.475,0.051
6001428700,1.000,1.000,0.912,0.851,0.472,0.050
6001432400,1.000,1.000,0.900,0.849,0.510,0.058
6001433300,1.000,1.000,0.928,0.923,0.549,0.059
6001433400,1.000,1.000,0.908,0.861,0.541,0.072
6001433500,1.000,1.000,0.882,0.878,0.514,0.056
6001433600,1.000,1.000,0.840,0.834,0.499,0.066
6001435900,1.000,1.000,0.868,0.863,0.571,0.098
6001436000,1.000,1.000,0.855,0.849,0.561,0.098
6001437101,1.000,1.000,0.955,0.953,0.861,0.384
6001438201,1.000,1.000,1.000,1.000,0.977,0.474
6001438203,1.000,1.000,1.000,1.000,0.977,0.474
6001438204,1.000,1.000,1.000,1.000,0.977,0.474
6001438400,1.000,1.000,1.000,1.000,0.977,0.474
6001440301,1.000,1.000,1.000,1.000,0.980,0.476
6001440304,1.000,1.000,1.000,1.000,0.980,0.476
6001440305,1.000,1.000,1.000,1.000,0.980,0.476
6001440306,1.000,1.000,1.000,1.000,0.980,0.476
6001440331,1.000,1.000,1.000,1.000,0.977,0.474
6001440332,1.000,1.000,1.000,1.000,0.980,0.476
6001440333,1.000,1.000,1.000,1.000,0.977,0.474
6001440334,1.000,1.000,1.000,1.000,0.980,0.476
6001441501,1.000,1.000,1.000,1.000,0.980,0.476
6001441503,1.000,1.000,1.000,0.995,0.865,0.390
6001444301,1.000,1.000,1.000,1.000,0.977,0.473
6001444302,1.000,1.000,1.000,0.994,0.925,0.445
6001444602,1.000,1.000,1.000,0.987,0.880,0.501
6001451101,1.000,1.000,1.000,0.916,0.210,0.000
6001981900,1.000,1.000,0.947,0.861,0.438,0.037
6001982000,1.000,1.000,0.958,0.889,0.470,0.041
6001983200,1.000,1.000,0.959,0.894,0.483,0.046
6013301000,0.000,0.000,0.000,0.000,0.000,0.000
6013302006,0.000,0.000,0.000,0.000,0.000,0.000
6013302008,0.000,0.000,0.000,0.000,0.000,0.000
6013303103,0.000,0.000,0.000,0.000,0.000,0.000
6013304002,0.000,0.000,0.000,0.000,0.000,0.000
6013304003,0.000,0.000,0.000,0.000,0.000,0.000
6013304004,0.000,0.000,0.000,0.000,0.000,0.000
6013304005,0.000,0.000,0.000,0.000,0.000,0.000
