,,Ratio of delays with adaptation over delays without adaptation,,,,,
Thresholds,,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
minimum,Southwest,0.000,0.000,0.000,0.000,0.000,0.000
,Northwest,0.000,0.000,0.000,0.000,0.000,0.000
,Southern Great Plains,0.000,0.000,0.000,0.000,0.000,0.000
,Southeast - Gulf,0.000,0.000,0.000,0.000,0.000,0.000
,Southeast - Atlantic,0.000,0.000,0.000,0.000,0.000,0.000
,Northeast,0.000,0.000,0.000,0.000,0.000,0.000
,NATIONAL,0.000,0.000,0.000,0.000,0.000,0.000
max - lowest tercile; min - medium tercile,Southwest,0.980,0.980,0.980,0.868,0.334,0.024
,Northwest,0.980,0.980,0.980,0.980,0.980,0.980
,Southern Great Plains,0.698,0.036,0.003,0.002,0.003,0.004
,Southeast - Gulf,0.564,0.008,0.001,0.001,0.001,0.001
,Southeast - Atlantic,0.980,0.139,0.001,0.001,0.001,0.001
,Northeast,0.904,0.126,0.032,0.006,0.006,0.009
,NATIONAL,0.969,0.159,0.011,0.003,0.002,0.004
max - medium tercile; min - highest tercile,Southwest,0.990,0.990,0.990,0.991,0.737,0.229
,Northwest,0.990,0.990,0.990,0.990,0.990,0.990
,Southern Great Plains,0.774,0.158,0.004,0.005,0.004,0.006
,Southeast - Gulf,0.967,0.304,0.017,0.004,0.017,0.017
,Southeast - Atlantic,0.990,0.990,0.640,0.337,0.185,0.174
,Northeast,0.990,0.990,0.795,0.717,0.689,0.724
,NATIONAL,0.990,0.990,0.996,0.845,0.487,0.309
maximum,Southwest,1.000,1.000,1.001,1.022,1.008,1.001
,Northwest,1.000,1.000,1.000,1.466,1.000,1.108
,Southern Great Plains,1.000,0.488,0.189,0.186,0.186,0.187
,Southeast - Gulf,1.003,1.005,1.008,1.010,1.012,1.009
,Southeast - Atlantic,1.001,1.014,1.012,1.008,1.011,1.005
,Northeast,1.025,1.006,1.009,1.006,1.009,1.008
,NATIONAL,1.025,1.014,1.012,1.466,1.012,1.108
