Region,Social Vulnerability,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
Southwest,Low Income,-20%,-24%,-24%,-23%,-23%,-24%
Northwest,,27%,24%,21%,20%,20%,21%
Southern Plains,,11%,13%,13%,13%,13%,13%
Southeast - Gulf,,2%,5%,0%,-2%,-3%,-3%
Southeast - Atlantic,,6%,9%,10%,9%,10%,10%
Northeast,,33%,35%,36%,36%,32%,32%
NATIONAL,,10%,14%,12%,11%,9%,9%
Southwest,Minority,-28%,-23%,-20%,-18%,-18%,-17%
Northwest,,13%,17%,22%,21%,21%,22%
Southern Plains,,3%,2%,4%,4%,4%,4%
Southeast - Gulf,,22%,32%,29%,29%,27%,26%
Southeast - Atlantic,,8%,34%,39%,38%,27%,25%
Northeast,,25%,20%,21%,22%,18%,19%
NATIONAL,,21%,41%,48%,52%,46%,45%
Southwest,No High School diploma,-20%,-22%,-21%,-19%,-19%,-19%
Northwest,,43%,42%,42%,41%,41%,42%
Southern Plains,,7%,5%,6%,6%,6%,6%
Southeast - Gulf,,13%,-2%,-6%,-9%,-10%,-10%
Southeast - Atlantic,,2%,13%,15%,14%,10%,10%
Northeast,,16%,20%,21%,20%,16%,16%
NATIONAL,,11%,18%,15%,13%,10%,10%
Southwest,65 and Older,11%,12%,13%,13%,13%,9%
Northwest,,-9%,-10%,-10%,-10%,-10%,-10%
Southern Plains,,5%,2%,2%,2%,2%,2%
Southeast - Gulf,,-17%,-12%,-11%,-8%,-7%,-5%
Southeast - Atlantic,,0%,0%,1%,1%,0%,1%
Northeast,,0%,4%,3%,2%,3%,3%
NATIONAL,,-7%,-5%,-4%,-5%,-4%,-4%
