Tract ID,1 deg,2 deg,3 deg,4 deg,5 deg
1001020100,2.70,14.57,19.77,38.77,68.21
1001020200,0.96,5.21,7.06,13.92,24.39
1001020300,0.90,4.89,6.63,13.06,22.89
1001020400,0.98,5.29,7.17,14.14,24.78
1001020500,0.68,3.67,4.98,9.82,17.21
1001020600,1.27,6.88,9.33,18.38,32.23
1001020700,3.36,18.24,24.74,48.75,85.44
1001020801,9.66,49.11,65.44,116.53,219.83
1001020802,2.21,9.73,15.09,27.30,52.34
1001020900,4.90,19.75,32.44,57.59,113.11
1001021000,8.79,31.84,49.38,75.24,149.20
1001021100,14.21,59.78,79.74,122.85,268.26
1003010100,-3.27,9.14,27.04,42.01,71.30
1003010200,-1.23,-1.87,7.01,13.13,19.04
1003010300,-1.42,-5.67,5.61,10.04,16.42
1003010400,-2.47,-13.52,-0.87,-0.85,7.30
1003010500,-0.08,-0.35,0.57,1.06,1.58
1003010600,-0.14,-0.58,0.94,1.77,2.63
1003010701,-1.31,-4.71,0.14,-1.17,1.59
1003010703,-0.90,-3.19,-0.86,-2.39,-1.13
1003010704,-0.18,-0.64,-0.17,-0.48,-0.23
1003010705,-0.22,-0.80,-0.21,-0.61,-0.29
1003010800,-0.32,-1.13,-0.30,-0.85,-0.40
1003010903,-1.10,-3.90,-1.06,-2.93,-1.39
1003010904,-0.80,-4.51,-2.06,-3.79,-1.82
1003010905,-0.75,-2.59,-0.74,-1.97,-0.96
1003010906,-0.15,-0.68,-0.27,-0.52,-0.27
1003011000,-2.96,-10.45,-2.47,-8.68,-4.90
1003011101,-0.38,-1.33,-0.36,-1.00,-0.47
1003011102,-2.76,-6.06,-1.68,-5.14,-2.86
1003011201,-0.31,-1.09,-0.29,-0.82,-0.39
1003011202,-0.41,-1.13,-0.31,-0.90,-0.46
1003011300,-3.75,-8.17,-2.26,-6.94,-3.88
1003011401,-3.13,-8.02,-2.05,-6.77,-3.81
1003011403,-0.80,-3.64,-0.73,-3.03,-1.73
