Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,-47.3,-43.8,-0.2,-0.6,-0.4
,Southwest,-9435.5,-4991.5,-1467.1,-2180.7,-49.5
,Southern Plains,-368.7,-128.9,-64.5,-30.4,-20.2
,Northern Plains,-132.3,-117.5,-44.1,-10.8,-6.4
,Midwest,-104.1,-46.3,-21.5,-0.8,-0.4
,Southeast,-296.5,-224.8,-1782.7,-1036.5,-221.1
,Northeast,-51.5,-52.2,-34.7,-0.6,-0.1
,NATIONAL,-9435.5,-4991.5,-1782.7,-2180.7,-221.1
max - lowest tercile; min - medium tercile,Northwest,0.0,0.0,0.0,0.0,0.0
,Southwest,-0.3,-0.1,0.1,0.3,0.7
,Southern Plains,0.0,0.0,0.1,0.1,0.1
,Northern Plains,0.0,0.0,0.1,0.2,0.2
,Midwest,0.0,0.2,0.8,1.2,1.5
,Southeast,0.0,0.0,0.1,0.3,0.6
,Northeast,0.0,0.0,0.1,0.5,0.7
,NATIONAL,0.0,0.0,0.2,0.4,0.6
max - medium tercile; min - highest tercile,Northwest,0.0,0.5,1.0,1.3,1.5
,Southwest,0.0,0.1,2.0,2.5,4.5
,Southern Plains,0.1,0.3,0.6,0.8,1.1
,Northern Plains,0.0,0.7,4.1,5.8,7.2
,Midwest,0.2,1.9,5.0,8.4,11.3
,Southeast,0.5,1.4,3.0,5.3,7.5
,Northeast,0.1,0.6,1.3,3.2,5.2
,NATIONAL,0.1,0.8,2.3,3.8,5.7
maximum,Northwest,5779.2,16566.8,19989.5,24717.8,28017.4
,Southwest,46446.1,274900.7,370945.1,359060.5,470866.2
,Southern Plains,1830.3,9022.7,13682.6,16820.9,20381.9
,Northern Plains,372.8,557.8,1135.3,1766.2,2292.2
,Midwest,8679.3,34029.2,55983.9,74458.1,94399.8
,Southeast,21892.5,30914.1,53331.2,124842.2,164983.5
,Northeast,4143.9,19162.9,53413.4,73272.7,87606.3
,NATIONAL,46446.1,274900.7,370945.1,359060.5,470866.2
