Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,65 and Older,13%,20%,22%,23%,24%
Southwest,,2%,10%,15%,16%,17%
Southern Plains,,21%,24%,25%,27%,27%
Northern Plains,,13%,20%,31%,32%,32%
Midwest,,12%,15%,15%,14%,14%
Southeast,,4%,5%,6%,6%,7%
Northeast,,14%,16%,16%,16%,16%
NATIONAL,,11%,15%,14%,16%,16%
Northwest,No High School Diploma,13%,13%,11%,12%,13%
Southwest,,-17%,-11%,-11%,-17%,-20%
Southern Plains,,-5%,-2%,-3%,-4%,-4%
Northern Plains,,-1%,2%,0%,2%,2%
Midwest,,-5%,-5%,-3%,-2%,-2%
Southeast,,11%,14%,16%,17%,18%
Northeast,,-26%,-28%,-27%,-27%,-27%
NATIONAL,,-11%,-11%,-6%,-9%,-9%
Northwest,Minority,-5%,-14%,-20%,-22%,-24%
Southwest,,-31%,-16%,-3%,-9%,-11%
Southern Plains,,-36%,-37%,-38%,-40%,-41%
Northern Plains,,-19%,-16%,-34%,-31%,-32%
Midwest,,-44%,-49%,-43%,-41%,-40%
Southeast,,-39%,-41%,-42%,-42%,-42%
Northeast,,-62%,-64%,-61%,-61%,-61%
NATIONAL,,-45%,-48%,-39%,-44%,-43%
Northwest,Low Income,-1%,0%,1%,2%,4%
Southwest,,0%,-9%,-17%,-19%,-21%
Southern Plains,,-6%,-3%,-4%,-4%,-4%
Northern Plains,,-11%,-5%,-6%,-6%,-6%
Midwest,,-9%,-17%,-17%,-16%,-16%
Southeast,,-1%,0%,0%,1%,1%
Northeast,,-15%,-23%,-24%,-26%,-27%
NATIONAL,,-6%,-11%,-11%,-13%,-13%
