,Ratio of delays with adaptation over delays without adaptation,,,,
Tract ID,1 deg,2 deg,3 deg,4 deg,5 deg
1001020100,0.0000,0.0219,0.0188,0.0166,0.0040
1001020200,0.0000,0.0191,0.0178,0.0160,0.0037
1001020300,0.0000,0.0191,0.0178,0.0160,0.0037
1001020400,0.0000,0.0191,0.0178,0.0160,0.0037
1001020500,0.0000,0.0191,0.0178,0.0160,0.0037
1001020600,0.0000,0.0192,0.0178,0.0160,0.0038
1001020700,0.0000,0.0191,0.0178,0.0160,0.0037
1001020801,0.0000,0.0713,0.0373,0.0285,0.0086
1001020802,0.8562,0.0801,0.0371,0.0269,0.0100
1001020900,0.5094,0.0961,0.0407,0.0287,0.0115
1001021000,0.5676,0.1375,0.0432,0.0387,0.0165
1001021100,0.0000,0.1523,0.0742,0.0610,0.0205
1003010100,0.0000,0.0000,0.0000,0.0000,0.0000
1003010200,0.0000,0.0000,0.0990,0.0024,0.0058
1003010300,0.0000,0.0000,0.2124,0.0337,0.0168
1003010400,0.0000,0.0000,0.0000,0.0000,0.0365
1003010500,0.0000,0.0000,0.1567,0.0158,0.0141
1003010600,0.0000,0.0000,0.1572,0.0157,0.0141
1003010701,0.0000,0.0000,0.0000,0.0000,0.0700
1003010703,0.0000,0.0000,0.0000,0.0000,0.0000
1003010704,0.0000,0.0000,0.0000,0.0000,0.0000
1003010705,0.0000,0.0000,0.0000,0.0000,0.0000
1003010800,0.0000,0.0000,0.0000,0.0000,0.0000
1003010903,0.0000,0.0000,0.0000,0.0000,0.0000
1003010904,0.0000,0.0000,0.0000,0.0000,0.0000
1003010905,0.0000,0.0000,0.0000,0.0000,0.0000
1003010906,0.0000,0.0000,0.0000,0.0000,0.0000
1003011000,0.0000,0.0000,0.0000,0.0000,0.0000
1003011101,0.0000,0.0000,0.0000,0.0000,0.0000
1003011102,0.0000,0.0000,0.0000,0.0000,0.0000
1003011201,0.0000,0.0000,0.0000,0.0000,0.0000
1003011202,0.0000,0.0000,0.0000,0.0000,0.0000
1003011300,0.0000,0.0000,0.0000,0.0000,0.0000
1003011401,0.0000,0.0000,0.0000,0.0000,0.0000
1003011403,0.0000,0.0000,0.0000,0.0000,0.0000
1003011405,0.0000,0.0000,0.0000,0.0000,0.0000
1003011406,0.0000,0.0000,0.0000,0.0000,0.0000
1003011407,0.0000,0.0000,0.0000,0.0000,0.0000
1003011408,0.0000,0.0000,0.0000,0.0000,0.0000
1003011501,0.0000,0.0000,0.0000,0.0000,0.0000
1003011502,0.0000,0.0000,0.0000,0.0000,0.0000
1003011601,0.0000,0.0000,0.0000,0.0000,0.0000
1003011602,0.0000,0.0000,0.0000,0.0000,0.0000
1005950100,0.0000,0.0000,0.1582,0.0823,0.0358
1005950200,0.0000,0.0000,0.2176,0.1069,0.0633
1005950300,0.0000,0.0000,0.0000,0.0385,0.0000
1005950400,0.0000,0.0000,0.0000,0.0000,0.0000
1005950500,0.0000,0.0000,0.0000,0.0688,0.0042
1005950600,0.0000,0.0000,0.1186,0.1007,0.0531
1005950700,0.0000,0.0000,0.1192,0.1004,0.0527
1005950800,0.0000,0.0000,0.0548,0.0991,0.0492
1005950900,0.0000,0.0000,0.0548,0.0991,0.0492
1007010001,0.4568,0.1947,0.0937,0.0447,0.0265
1007010002,0.5697,0.2120,0.1009,0.0501,0.0308
1007010003,0.3634,0.1867,0.0716,0.0451,0.0218
1007010004,0.5056,0.2654,0.1172,0.0659,0.0340
1009050101,0.4079,0.1081,0.0545,0.0230,0.0142
1009050102,0.4230,0.1065,0.0519,0.0242,0.0138
1009050200,0.5984,0.1431,0.0567,0.0406,0.0168
1009050300,0.3929,0.2142,0.1044,0.0723,0.0227
1009050400,0.5695,0.2449,0.1059,0.0736,0.0265
1009050500,0.7452,0.2009,0.0745,0.0523,0.0235
1009050601,0.4831,0.1727,0.0336,0.0227,0.0195
1009050602,0.4936,0.1366,0.0303,0.0219,0.0155
1009050700,0.5249,0.0769,0.0251,0.0206,0.0092
1011952100,0.7279,0.0422,0.1034,0.0512,0.0330
1011952200,0.2544,0.0797,0.0655,0.0344,0.0277
1011952500,0.3953,0.1422,0.0979,0.0425,0.0287
1013952700,0.0445,0.0000,0.0000,0.0046,0.0046
1013952800,0.0445,0.0000,0.0000,0.0046,0.0046
1013952900,0.0445,0.0000,0.0000,0.0046,0.0046
1013953000,0.0000,0.0000,0.0195,0.0480,0.0174
1013953100,0.0446,0.0000,0.0000,0.0046,0.0046
1013953200,0.9900,0.0000,0.0119,0.0167,0.0174
1013953300,0.0000,0.0000,0.0222,0.0429,0.0142
1013953400,0.0000,0.0000,0.0551,0.1219,0.0227
1013953500,0.0000,0.0000,0.0169,0.0183,0.0098
1015000200,0.3042,0.2174,0.0820,0.0365,0.0179
1015000300,0.3042,0.2174,0.0820,0.0365,0.0179
1015000400,0.3042,0.2174,0.0820,0.0365,0.0179
1015000500,0.3042,0.2174,0.0820,0.0365,0.0179
1015000600,0.3042,0.2174,0.0820,0.0365,0.0179
1015000700,0.3042,0.2174,0.0820,0.0366,0.0179
1015000800,0.3042,0.2174,0.0820,0.0365,0.0179
1015000900,0.3042,0.2174,0.0820,0.0365,0.0179
1015001000,0.3052,0.2176,0.0818,0.0367,0.0180
1015001100,0.3077,0.2179,0.0813,0.0371,0.0183
1015001201,0.3042,0.2174,0.0820,0.0365,0.0179
1015001202,0.3042,0.2174,0.0820,0.0365,0.0179
1015001300,0.3042,0.2174,0.0820,0.0365,0.0179
1015001400,0.3042,0.2174,0.0820,0.0365,0.0179
1015001500,0.2930,0.1771,0.0640,0.0294,0.0154
1015001600,0.3042,0.2174,0.0820,0.0365,0.0179
1015001700,0.3043,0.2174,0.0820,0.0366,0.0180
1015001800,0.3211,0.2110,0.0944,0.0661,0.0278
1015002000,0.4919,0.2748,0.1004,0.0708,0.0274
1015002101,0.3105,0.2001,0.0919,0.0674,0.0293
1015002102,0.4508,0.3017,0.1357,0.1007,0.0301
1015002103,0.3478,0.2288,0.1037,0.0776,0.0295
1015002200,0.5557,0.3675,0.1674,0.1188,0.0305
1015002300,0.5557,0.3675,0.1674,0.1188,0.0305
1015002400,0.3350,0.2191,0.0997,0.0742,0.0295
1015002501,0.3049,0.1971,0.0898,0.0638,0.0285
1015002502,0.3049,0.1957,0.0902,0.0658,0.0293
1015002600,0.3136,0.1510,0.0641,0.0362,0.0201
1015981901,0.3000,0.2005,0.0745,0.0337,0.0169
1015981902,0.3013,0.2034,0.0764,0.0351,0.0175
1015981903,0.3416,0.2217,0.0758,0.0414,0.0211
