Region,Social Vulnerability,1 deg,2 deg,3 deg,4 deg,5 deg
Northwest,65 and Older,4%,13%,2%,3%,5%
Southwest,,11%,2%,-3%,-4%,-6%
Southern Plains,,2%,-8%,-3%,-3%,-2%
Northern Plains,,11%,2%,10%,6%,4%
Midwest,,2%,2%,0%,3%,2%
Southeast,,-2%,-5%,-5%,1%,-2%
Northeast,,2%,3%,1%,3%,2%
NATIONAL,,3%,-2%,-4%,-3%,-4%
Northwest,No High School Diploma,17%,14%,4%,8%,6%
Southwest,,-21%,-13%,6%,6%,6%
Southern Plains,,7%,6%,-2%,0%,-6%
Northern Plains,,6%,14%,-5%,-4%,0%
Midwest,,-1%,-3%,-6%,-13%,-11%
Southeast,,3%,0%,5%,8%,7%
Northeast,,-1%,-14%,-5%,11%,5%
NATIONAL,,-5%,-2%,3%,5%,6%
Northwest,Minority,16%,-21%,10%,0%,-13%
Southwest,,-24%,-21%,3%,7%,-1%
Southern Plains,,4%,27%,2%,5%,-11%
Northern Plains,,-13%,5%,-15%,-15%,-7%
Midwest,,-30%,-20%,-23%,-32%,-34%
Southeast,,-19%,-1%,-23%,-13%,-27%
Northeast,,-14%,-19%,-22%,-11%,-18%
NATIONAL,,-26%,-5%,-3%,2%,0%
Northwest,Low Income,-6%,15%,0%,2%,4%
Southwest,,-10%,-8%,2%,5%,2%
Southern Plains,,3%,-1%,-2%,-2%,-2%
Northern Plains,,2%,1%,0%,2%,4%
Midwest,,4%,-1%,1%,-5%,-3%
Southeast,,-3%,-5%,0%,6%,6%
Northeast,,7%,-8%,-3%,11%,13%
NATIONAL,,1%,-2%,-1%,3%,4%
